净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,2.133,2.133,0.0,开放申购,开放赎回,nan
2020-10-09,2.241,2.241,5.06,开放申购,开放赎回,nan
2020-10-12,2.317,2.317,3.39,开放申购,开放赎回,nan
2020-10-13,2.33,2.33,0.56,开放申购,开放赎回,nan
2020-10-14,2.328,2.328,-0.09,开放申购,开放赎回,nan
2020-10-15,2.294,2.294,-1.46,开放申购,开放赎回,nan
2020-10-16,2.251,2.251,-1.87,开放申购,开放赎回,nan
2020-10-19,2.224,2.224,-1.2,开放申购,开放赎回,nan
2020-10-20,2.25,2.25,1.17,开放申购,开放赎回,nan
2020-10-21,2.178,2.178,-3.2,开放申购,开放赎回,nan
2020-10-22,2.152,2.152,-1.19,开放申购,开放赎回,nan
2020-10-23,2.096,2.096,-2.6,开放申购,开放赎回,nan
2020-10-26,2.126,2.126,1.43,开放申购,开放赎回,nan
2020-10-27,2.152,2.152,1.22,开放申购,开放赎回,nan
2020-10-28,2.182,2.182,1.39,开放申购,开放赎回,nan
2020-10-29,2.179,2.179,-0.14,开放申购,开放赎回,nan
2020-10-30,2.169,2.169,-0.46,开放申购,开放赎回,nan
2020-11-02,2.233,2.233,2.95,开放申购,开放赎回,nan
2020-11-03,2.241,2.241,0.36,开放申购,开放赎回,nan
2020-11-04,2.24,2.24,-0.04,开放申购,开放赎回,nan
2020-11-05,2.323,2.323,3.71,开放申购,开放赎回,nan
2020-11-06,2.267,2.267,-2.41,开放申购,开放赎回,nan
2020-11-09,2.307,2.307,1.76,开放申购,开放赎回,nan
2020-11-10,2.295,2.295,-0.52,开放申购,开放赎回,nan
2020-11-11,2.235,2.235,-2.61,开放申购,开放赎回,nan
2020-11-12,2.244,2.244,0.4,开放申购,开放赎回,nan
2020-11-13,2.275,2.275,1.38,开放申购,开放赎回,nan
2020-11-16,2.27,2.27,-0.22,开放申购,开放赎回,nan
2020-11-17,2.206,2.206,-2.82,开放申购,开放赎回,nan
2020-11-18,2.176,2.176,-1.36,开放申购,开放赎回,nan
2020-11-19,2.213,2.213,1.7,开放申购,开放赎回,nan
2020-11-20,2.266,2.266,2.39,开放申购,开放赎回,nan
2020-11-23,2.319,2.319,2.34,开放申购,开放赎回,nan
2020-11-24,2.349,2.349,1.29,开放申购,开放赎回,nan
2020-11-25,2.304,2.304,-1.92,开放申购,开放赎回,nan
2020-11-26,2.295,2.295,-0.39,开放申购,开放赎回,nan
2020-11-27,2.28,2.28,-0.65,开放申购,开放赎回,nan
2020-11-30,2.274,2.274,-0.26,开放申购,开放赎回,nan
2020-12-01,2.301,2.301,1.19,开放申购,开放赎回,nan
2020-12-02,2.283,2.283,-0.78,开放申购,开放赎回,nan
2020-12-03,2.277,2.277,-0.26,开放申购,开放赎回,nan
2020-12-04,2.304,2.304,1.19,开放申购,开放赎回,nan
2020-12-07,2.347,2.347,1.87,开放申购,开放赎回,nan
2020-12-08,2.417,2.417,2.98,开放申购,开放赎回,nan
2020-12-09,2.409,2.409,-0.33,开放申购,开放赎回,nan
2020-12-10,2.46,2.46,2.12,开放申购,开放赎回,nan
2020-12-11,2.444,2.444,-0.65,开放申购,开放赎回,nan
2020-12-14,2.523,2.523,3.23,开放申购,开放赎回,nan
2020-12-15,2.535,2.535,0.48,开放申购,开放赎回,nan
2020-12-16,2.554,2.554,0.75,开放申购,开放赎回,nan
2020-12-17,2.564,2.564,0.39,开放申购,开放赎回,nan
2020-12-18,2.624,2.624,2.34,开放申购,开放赎回,nan
2020-12-21,2.766,2.766,5.41,开放申购,开放赎回,nan
2020-12-22,2.705,2.705,-2.21,开放申购,开放赎回,nan
2020-12-23,2.775,2.775,2.59,开放申购,开放赎回,nan
2020-12-24,2.748,2.748,-0.97,开放申购,开放赎回,nan
2020-12-25,2.89,2.89,5.17,开放申购,开放赎回,nan
2020-12-28,2.893,2.893,0.1,开放申购,开放赎回,nan
2020-12-29,2.776,2.776,-4.04,开放申购,开放赎回,nan
2020-12-30,2.829,2.829,1.91,开放申购,开放赎回,nan
2020-12-31,2.893,2.893,2.26,开放申购,开放赎回,nan
2021-01-04,3.077,3.077,6.36,开放申购,开放赎回,nan
2021-01-05,3.092,3.092,0.49,开放申购,开放赎回,nan
2021-01-06,3.066,3.066,-0.84,开放申购,开放赎回,nan
2021-01-07,3.155,3.155,2.9,开放申购,开放赎回,nan
2021-01-08,3.092,3.092,-2.0,开放申购,开放赎回,nan
2021-01-11,2.984,2.984,-3.49,开放申购,开放赎回,nan
2021-01-12,3.07,3.07,2.88,开放申购,开放赎回,nan
2021-01-13,3.023,3.023,-1.53,开放申购,开放赎回,nan
2021-01-14,2.963,2.963,-1.98,开放申购,开放赎回,nan
2021-01-15,3.022,3.022,1.99,开放申购,开放赎回,nan
2021-01-18,3.057,3.057,1.16,开放申购,开放赎回,nan
2021-01-19,3.021,3.021,-1.18,开放申购,开放赎回,nan
2021-01-20,3.173,3.173,5.03,开放申购,开放赎回,nan
2021-01-21,3.261,3.261,2.77,开放申购,开放赎回,nan
2021-01-22,3.395,3.395,4.11,开放申购,开放赎回,nan
2021-01-25,3.423,3.423,0.82,开放申购,开放赎回,nan
2021-01-26,3.356,3.356,-1.96,开放申购,开放赎回,nan
2021-01-27,3.41,3.41,1.61,开放申购,开放赎回,nan
2021-01-28,3.281,3.281,-3.78,开放申购,开放赎回,nan
2021-01-29,3.222,3.222,-1.8,开放申购,开放赎回,nan
2021-02-01,3.201,3.201,-0.65,开放申购,开放赎回,nan
2021-02-02,3.316,3.316,3.59,开放申购,开放赎回,nan
2021-02-03,3.296,3.296,-0.6,开放申购,开放赎回,nan
2021-02-04,3.168,3.168,-3.88,开放申购,开放赎回,nan
2021-02-05,3.056,3.056,-3.54,开放申购,开放赎回,nan
2021-02-08,3.091,3.091,1.15,开放申购,开放赎回,nan
2021-02-09,3.198,3.198,3.46,开放申购,开放赎回,nan
2021-02-10,3.211,3.211,0.41,开放申购,开放赎回,nan
2021-02-18,3.173,3.173,-1.18,开放申购,开放赎回,nan
2021-02-19,3.128,3.128,-1.42,开放申购,开放赎回,nan
2021-02-22,3.106,3.106,-0.7,开放申购,开放赎回,nan
2021-02-23,3.064,3.064,-1.35,开放申购,开放赎回,nan
2021-02-24,2.942,2.942,-3.98,开放申购,开放赎回,nan
2021-02-25,2.911,2.911,-1.05,开放申购,开放赎回,nan
2021-02-26,2.84,2.84,-2.44,开放申购,开放赎回,nan
2021-03-01,2.947,2.947,3.77,开放申购,开放赎回,nan
2021-03-02,2.95,2.95,0.1,开放申购,开放赎回,nan
2021-03-03,2.997,2.997,1.59,开放申购,开放赎回,nan
2021-03-04,2.831,2.831,-5.54,开放申购,开放赎回,nan
2021-03-05,2.852,2.852,0.74,开放申购,开放赎回,nan
2021-03-08,2.722,2.722,-4.56,开放申购,开放赎回,nan
2021-03-09,2.663,2.663,-2.17,开放申购,开放赎回,nan
2021-03-10,2.705,2.705,1.58,开放申购,开放赎回,nan
2021-03-11,2.758,2.758,1.96,开放申购,开放赎回,nan
2021-03-12,2.758,2.758,0.0,开放申购,开放赎回,nan
2021-03-15,2.7,2.7,-2.1,开放申购,开放赎回,nan
2021-03-16,2.674,2.674,-0.96,开放申购,开放赎回,nan
2021-03-17,2.761,2.761,3.25,开放申购,开放赎回,nan
2021-03-18,2.794,2.794,1.2,开放申购,开放赎回,nan
2021-03-19,2.692,2.692,-3.65,开放申购,开放赎回,nan
2021-03-22,2.723,2.723,1.15,开放申购,开放赎回,nan
2021-03-23,2.638,2.638,-3.12,开放申购,开放赎回,nan
2021-03-24,2.558,2.558,-3.03,开放申购,开放赎回,nan
2021-03-25,2.6,2.6,1.64,开放申购,开放赎回,nan
2021-03-26,2.744,2.744,5.54,开放申购,开放赎回,nan
2021-03-29,2.744,2.744,0.0,开放申购,开放赎回,nan
2021-03-30,2.8,2.8,2.04,开放申购,开放赎回,nan
2021-03-31,2.763,2.763,-1.32,开放申购,开放赎回,nan
2021-04-01,2.805,2.805,1.52,开放申购,开放赎回,nan
2021-04-02,2.825,2.825,0.71,开放申购,开放赎回,nan
2021-04-06,2.852,2.852,0.96,开放申购,开放赎回,nan
2021-04-07,2.806,2.806,-1.61,开放申购,开放赎回,nan
2021-04-08,2.787,2.787,-0.68,开放申购,开放赎回,nan
2021-04-09,2.751,2.751,-1.29,开放申购,开放赎回,nan
2021-04-12,2.637,2.637,-4.14,开放申购,开放赎回,nan
2021-04-13,2.639,2.639,0.08,开放申购,开放赎回,nan
2021-04-14,2.754,2.754,4.36,开放申购,开放赎回,nan
2021-04-15,2.76,2.76,0.22,开放申购,开放赎回,nan
2021-04-16,2.758,2.758,-0.07,开放申购,开放赎回,nan
2021-04-19,2.93,2.93,6.24,开放申购,开放赎回,nan
2021-04-20,2.917,2.917,-0.44,开放申购,开放赎回,nan
2021-04-21,2.922,2.922,0.17,开放申购,开放赎回,nan
2021-04-22,2.94,2.94,0.62,开放申购,开放赎回,nan
2021-04-23,2.987,2.987,1.6,开放申购,开放赎回,nan
2021-04-26,2.98,2.98,-0.23,开放申购,开放赎回,nan
2021-04-27,2.982,2.982,0.07,开放申购,开放赎回,nan
2021-04-28,3.033,3.033,1.71,开放申购,开放赎回,nan
2021-04-29,3.046,3.046,0.43,开放申购,开放赎回,nan
2021-04-30,3.14,3.14,3.09,开放申购,开放赎回,nan
2021-05-06,3.159,3.159,0.61,开放申购,开放赎回,nan
2021-05-07,3.069,3.069,-2.85,开放申购,开放赎回,nan
2021-05-10,3.086,3.086,0.55,开放申购,开放赎回,nan
2021-05-11,3.048,3.048,-1.23,开放申购,开放赎回,nan
2021-05-12,3.063,3.063,0.49,开放申购,开放赎回,nan
2021-05-13,3.022,3.022,-1.34,开放申购,开放赎回,nan
2021-05-14,3.102,3.102,2.65,开放申购,开放赎回,nan
2021-05-17,3.185,3.185,2.68,开放申购,开放赎回,nan
2021-05-18,3.222,3.222,1.16,开放申购,开放赎回,nan
2021-05-19,3.309,3.309,2.7,开放申购,开放赎回,nan
2021-05-20,3.307,3.307,-0.06,开放申购,开放赎回,nan
2021-05-21,3.316,3.316,0.27,开放申购,开放赎回,nan
2021-05-24,3.336,3.336,0.6,开放申购,开放赎回,nan
2021-05-25,3.348,3.348,0.36,开放申购,开放赎回,nan
2021-05-26,3.327,3.327,-0.63,开放申购,开放赎回,nan
2021-05-27,3.353,3.353,0.78,开放申购,开放赎回,nan
2021-05-28,3.448,3.448,2.83,开放申购,开放赎回,nan
2021-05-31,3.612,3.612,4.76,开放申购,开放赎回,nan
2021-06-01,3.613,3.613,0.03,开放申购,开放赎回,nan
2021-06-02,3.609,3.609,-0.11,开放申购,开放赎回,nan
2021-06-03,3.593,3.593,-0.44,开放申购,开放赎回,nan
2021-06-04,3.677,3.677,2.34,开放申购,开放赎回,nan
2021-06-07,3.645,3.645,-0.87,开放申购,开放赎回,nan
2021-06-08,3.581,3.581,-1.76,开放申购,开放赎回,nan
2021-06-09,3.607,3.607,0.73,开放申购,开放赎回,nan
2021-06-10,3.693,3.693,2.38,开放申购,开放赎回,nan
2021-06-11,3.674,3.674,-0.51,开放申购,开放赎回,nan
2021-06-15,3.624,3.624,-1.36,开放申购,开放赎回,nan
2021-06-16,3.437,3.437,-5.16,开放申购,开放赎回,nan
2021-06-17,3.494,3.494,1.66,开放申购,开放赎回,nan
2021-06-18,3.622,3.622,3.66,开放申购,开放赎回,nan
2021-06-21,3.676,3.676,1.49,开放申购,开放赎回,nan
2021-06-22,3.693,3.693,0.46,开放申购,开放赎回,nan
2021-06-23,3.793,3.793,2.71,开放申购,开放赎回,nan
2021-06-24,3.728,3.728,-1.71,开放申购,开放赎回,nan
2021-06-25,3.766,3.766,1.02,开放申购,开放赎回,nan
2021-06-28,3.833,3.833,1.78,开放申购,开放赎回,nan
2021-06-29,3.846,3.846,0.34,开放申购,开放赎回,nan
2021-06-30,3.899,3.899,1.38,开放申购,开放赎回,nan
2021-07-01,3.84,3.84,-1.51,开放申购,开放赎回,nan
2021-07-02,3.909,3.909,1.8,开放申购,开放赎回,nan
2021-07-05,4.093,4.093,4.71,开放申购,开放赎回,nan
2021-07-06,4.118,4.118,0.61,开放申购,开放赎回,nan
2021-07-07,4.33,4.33,5.15,开放申购,开放赎回,nan
2021-07-08,4.42,4.42,2.08,开放申购,开放赎回,nan
2021-07-09,4.591,4.591,3.87,开放申购,开放赎回,nan
2021-07-12,4.83,4.83,5.21,开放申购,开放赎回,nan
2021-07-13,4.848,4.848,0.37,开放申购,开放赎回,nan
2021-07-14,4.657,4.657,-3.94,开放申购,开放赎回,nan
2021-07-15,4.739,4.739,1.76,开放申购,开放赎回,nan
2021-07-16,4.653,4.653,-1.81,开放申购,开放赎回,nan
