净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,1.898,1.898,1.44,开放申购,开放赎回,nan
2020-10-09,1.997,1.997,5.22,开放申购,开放赎回,nan
2020-10-12,2.044,2.044,2.35,开放申购,开放赎回,nan
2020-10-13,2.069,2.069,1.22,开放申购,开放赎回,nan
2020-10-14,2.067,2.067,-0.1,开放申购,开放赎回,nan
2020-10-15,2.024,2.024,-2.08,开放申购,开放赎回,nan
2020-10-16,2.006,2.006,-0.89,开放申购,开放赎回,nan
2020-10-19,1.952,1.952,-2.69,开放申购,开放赎回,nan
2020-10-20,1.983,1.983,1.59,开放申购,开放赎回,nan
2020-10-21,1.945,1.945,-1.92,开放申购,开放赎回,nan
2020-10-22,1.926,1.926,-0.98,开放申购,开放赎回,nan
2020-10-23,1.874,1.874,-2.7,开放申购,开放赎回,nan
2020-10-26,1.915,1.915,2.19,开放申购,开放赎回,nan
2020-10-27,1.967,1.967,2.72,开放申购,开放赎回,nan
2020-10-28,1.996,1.996,1.47,开放申购,开放赎回,nan
2020-10-29,2.011,2.011,0.75,开放申购,开放赎回,nan
2020-10-30,2.011,2.011,0.0,开放申购,开放赎回,nan
2020-11-02,2.07,2.07,2.93,开放申购,开放赎回,nan
2020-11-03,2.047,2.047,-1.11,开放申购,开放赎回,nan
2020-11-04,2.023,2.023,-1.17,开放申购,开放赎回,nan
2020-11-05,2.106,2.106,4.1,开放申购,开放赎回,nan
2020-11-06,2.053,2.053,-2.52,开放申购,开放赎回,nan
2020-11-09,2.054,2.054,0.05,开放申购,开放赎回,nan
2020-11-10,2.042,2.042,-0.58,开放申购,开放赎回,nan
2020-11-11,1.991,1.991,-2.5,开放申购,开放赎回,nan
2020-11-12,2.015,2.015,1.21,开放申购,开放赎回,nan
2020-11-13,2.039,2.039,1.19,开放申购,开放赎回,nan
2020-11-16,2.045,2.045,0.29,开放申购,开放赎回,nan
2020-11-17,2.014,2.014,-1.52,开放申购,开放赎回,nan
2020-11-18,2.0,2.0,-0.7,开放申购,开放赎回,nan
2020-11-19,2.004,2.004,0.2,开放申购,开放赎回,nan
2020-11-20,2.054,2.054,2.5,开放申购,开放赎回,nan
2020-11-23,2.115,2.115,2.97,开放申购,开放赎回,nan
2020-11-24,2.119,2.119,0.19,开放申购,开放赎回,nan
2020-11-25,2.059,2.059,-2.83,开放申购,开放赎回,nan
2020-11-26,2.049,2.049,-0.49,开放申购,开放赎回,nan
2020-11-27,2.053,2.053,0.2,开放申购,开放赎回,nan
2020-11-30,2.042,2.042,-0.54,开放申购,开放赎回,nan
2020-12-01,2.063,2.063,1.03,开放申购,开放赎回,nan
2020-12-02,2.044,2.044,-0.92,开放申购,开放赎回,nan
2020-12-03,2.017,2.017,-1.32,开放申购,开放赎回,nan
2020-12-04,2.055,2.055,1.88,开放申购,开放赎回,nan
2020-12-07,2.071,2.071,0.78,开放申购,开放赎回,nan
2020-12-08,2.083,2.083,0.58,开放申购,开放赎回,nan
2020-12-09,2.072,2.072,-0.53,开放申购,开放赎回,nan
2020-12-10,2.105,2.105,1.59,开放申购,开放赎回,nan
2020-12-11,2.072,2.072,-1.57,开放申购,开放赎回,nan
2020-12-14,2.108,2.108,1.74,开放申购,开放赎回,nan
2020-12-15,2.115,2.115,0.33,开放申购,开放赎回,nan
2020-12-16,2.108,2.108,-0.33,开放申购,开放赎回,nan
2020-12-17,2.14,2.14,1.52,开放申购,开放赎回,nan
2020-12-18,2.169,2.169,1.36,开放申购,开放赎回,nan
2020-12-21,2.25,2.25,3.73,开放申购,开放赎回,nan
2020-12-22,2.207,2.207,-1.91,开放申购,开放赎回,nan
2020-12-23,2.259,2.259,2.36,开放申购,开放赎回,nan
2020-12-24,2.251,2.251,-0.35,开放申购,开放赎回,nan
2020-12-25,2.335,2.335,3.73,开放申购,开放赎回,nan
2020-12-28,2.316,2.316,-0.81,开放申购,开放赎回,nan
2020-12-29,2.191,2.191,-5.4,开放申购,开放赎回,nan
2020-12-30,2.237,2.237,2.1,开放申购,开放赎回,nan
2020-12-31,2.288,2.288,2.28,开放申购,开放赎回,nan
2021-01-04,2.406,2.406,5.16,开放申购,开放赎回,nan
2021-01-05,2.405,2.405,-0.04,开放申购,开放赎回,nan
2021-01-06,2.397,2.397,-0.33,开放申购,开放赎回,nan
2021-01-07,2.497,2.497,4.17,开放申购,开放赎回,nan
2021-01-08,2.399,2.399,-3.92,开放申购,开放赎回,nan
2021-01-11,2.292,2.292,-4.46,开放申购,开放赎回,nan
2021-01-12,2.391,2.391,4.32,开放申购,开放赎回,nan
2021-01-13,2.346,2.346,-1.88,开放申购,开放赎回,nan
2021-01-14,2.284,2.284,-2.64,开放申购,开放赎回,nan
2021-01-15,2.334,2.334,2.19,开放申购,开放赎回,nan
2021-01-18,2.381,2.381,2.01,开放申购,开放赎回,nan
2021-01-19,2.341,2.341,-1.68,开放申购,开放赎回,nan
2021-01-20,2.442,2.442,4.31,开放申购,开放赎回,nan
2021-01-21,2.51,2.51,2.78,开放申购,开放赎回,nan
2021-01-22,2.646,2.646,5.42,开放申购,开放赎回,nan
2021-01-25,2.711,2.711,2.46,开放申购,开放赎回,nan
2021-01-26,2.662,2.662,-1.81,开放申购,开放赎回,nan
2021-01-27,2.714,2.714,1.95,开放申购,开放赎回,nan
2021-01-28,2.626,2.626,-3.24,开放申购,开放赎回,nan
2021-01-29,2.585,2.585,-1.56,开放申购,开放赎回,nan
2021-02-01,2.559,2.559,-1.01,开放申购,开放赎回,nan
2021-02-02,2.602,2.602,1.68,开放申购,开放赎回,nan
2021-02-03,2.609,2.609,0.27,开放申购,开放赎回,nan
2021-02-04,2.568,2.568,-1.57,开放申购,开放赎回,nan
2021-02-05,2.548,2.548,-0.78,开放申购,开放赎回,nan
2021-02-08,2.57,2.57,0.86,开放申购,开放赎回,nan
2021-02-09,2.609,2.609,1.52,开放申购,开放赎回,nan
2021-02-10,2.643,2.643,1.3,开放申购,开放赎回,nan
2021-02-18,2.63,2.63,-0.49,开放申购,开放赎回,nan
2021-02-19,2.584,2.584,-1.75,开放申购,开放赎回,nan
2021-02-22,2.531,2.531,-2.05,开放申购,开放赎回,nan
2021-02-23,2.501,2.501,-1.19,开放申购,开放赎回,nan
2021-02-24,2.419,2.419,-3.28,开放申购,开放赎回,nan
