净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,1.1407,1.1407,0.48,开放申购,开放赎回,nan
2020-10-09,1.1662,1.1662,2.24,开放申购,开放赎回,nan
2020-10-12,1.1957,1.1957,2.53,开放申购,开放赎回,nan
2020-10-13,1.2077,1.2077,1.0,开放申购,开放赎回,nan
2020-10-14,1.202,1.202,-0.47,开放申购,开放赎回,nan
2020-10-15,1.1898,1.1898,-1.01,开放申购,开放赎回,nan
2020-10-16,1.1961,1.1961,0.53,开放申购,开放赎回,nan
2020-10-19,1.1686,1.1686,-2.3,开放申购,开放赎回,nan
2020-10-20,1.1781,1.1781,0.81,开放申购,开放赎回,nan
2020-10-21,1.1723,1.1723,-0.49,开放申购,开放赎回,nan
2020-10-22,1.1584,1.1584,-1.19,开放申购,开放赎回,nan
2020-10-23,1.1296,1.1296,-2.49,开放申购,开放赎回,nan
2020-10-26,1.1354,1.1354,0.51,开放申购,开放赎回,nan
2020-10-27,1.1543,1.1543,1.66,开放申购,开放赎回,nan
2020-10-28,1.1526,1.1526,-0.15,开放申购,开放赎回,nan
2020-10-29,1.1712,1.1712,1.61,开放申购,开放赎回,nan
2020-10-30,1.1469,1.1469,-2.07,开放申购,开放赎回,nan
2020-11-02,1.138,1.138,-0.78,开放申购,开放赎回,nan
2020-11-03,1.1543,1.1543,1.43,开放申购,开放赎回,nan
2020-11-04,1.1512,1.1512,-0.27,开放申购,开放赎回,nan
2020-11-05,1.1577,1.1577,0.56,开放申购,开放赎回,nan
2020-11-06,1.1354,1.1354,-1.93,开放申购,开放赎回,nan
2020-11-09,1.1525,1.1525,1.51,开放申购,开放赎回,nan
2020-11-10,1.1401,1.1401,-1.08,开放申购,开放赎回,nan
2020-11-11,1.1184,1.1184,-1.9,开放申购,开放赎回,nan
2020-11-12,1.124,1.124,0.5,开放申购,开放赎回,nan
2020-11-13,1.1222,1.1222,-0.16,开放申购,开放赎回,nan
2020-11-16,1.1304,1.1304,0.73,开放申购,开放赎回,nan
2020-11-17,1.1099,1.1099,-1.81,开放申购,开放赎回,nan
2020-11-18,1.1008,1.1008,-0.82,开放申购,开放赎回,nan
2020-11-19,1.1063,1.1063,0.5,开放申购,开放赎回,nan
2020-11-20,1.1137,1.1137,0.67,开放申购,开放赎回,nan
2020-11-23,1.1115,1.1115,-0.2,开放申购,开放赎回,nan
2020-11-24,1.1035,1.1035,-0.72,开放申购,开放赎回,nan
2020-11-25,1.0836,1.0836,-1.8,开放申购,开放赎回,nan
2020-11-26,1.0819,1.0819,-0.16,开放申购,开放赎回,nan
2020-11-27,1.085,1.085,0.29,开放申购,开放赎回,nan
2020-11-30,1.0855,1.0855,0.05,开放申购,开放赎回,nan
2020-12-01,1.1061,1.1061,1.9,开放申购,开放赎回,nan
2020-12-02,1.1081,1.1081,0.18,开放申购,开放赎回,nan
2020-12-03,1.1268,1.1268,1.69,开放申购,开放赎回,nan
2020-12-04,1.1381,1.1381,1.0,开放申购,开放赎回,nan
2020-12-07,1.1312,1.1312,-0.61,开放申购,开放赎回,nan
2020-12-08,1.1292,1.1292,-0.18,开放申购,开放赎回,nan
2020-12-09,1.1134,1.1134,-1.4,开放申购,开放赎回,nan
2020-12-10,1.1199,1.1199,0.58,开放申购,开放赎回,nan
2020-12-11,1.1051,1.1051,-1.32,开放申购,开放赎回,nan
2020-12-14,1.1153,1.1153,0.92,开放申购,开放赎回,nan
2020-12-15,1.1265,1.1265,1.0,开放申购,开放赎回,nan
2020-12-16,1.1228,1.1228,-0.33,开放申购,开放赎回,nan
2020-12-17,1.1355,1.1355,1.13,开放申购,开放赎回,nan
2020-12-18,1.1201,1.1201,-1.36,开放申购,开放赎回,nan
2020-12-21,1.1317,1.1317,1.04,开放申购,开放赎回,nan
2020-12-22,1.1272,1.1272,-0.4,开放申购,开放赎回,nan
2020-12-23,1.117,1.117,-0.9,开放申购,开放赎回,nan
2020-12-24,1.1036,1.1036,-1.2,开放申购,开放赎回,nan
2020-12-25,1.111,1.111,0.67,开放申购,开放赎回,nan
2020-12-28,1.1012,1.1012,-0.88,开放申购,开放赎回,nan
2020-12-29,1.0951,1.0951,-0.55,开放申购,开放赎回,nan
2020-12-30,1.101,1.101,0.54,开放申购,开放赎回,nan
2020-12-31,1.1141,1.1141,1.19,开放申购,开放赎回,nan
2021-01-04,1.1153,1.1153,0.11,开放申购,开放赎回,nan
2021-01-05,1.1363,1.1363,1.88,开放申购,开放赎回,nan
2021-01-06,1.1495,1.1495,1.16,开放申购,开放赎回,nan
2021-01-07,1.1382,1.1382,-0.98,开放申购,开放赎回,nan
2021-01-08,1.144,1.144,0.51,开放申购,开放赎回,nan
2021-01-11,1.1347,1.1347,-0.81,开放申购,开放赎回,nan
2021-01-12,1.1515,1.1515,1.48,开放申购,开放赎回,nan
2021-01-13,1.1399,1.1399,-1.01,开放申购,开放赎回,nan
2021-01-14,1.1371,1.1371,-0.25,开放申购,开放赎回,nan
2021-01-15,1.1315,1.1315,-0.49,开放申购,开放赎回,nan
2021-01-18,1.141,1.141,0.84,开放申购,开放赎回,nan
2021-01-19,1.13,1.13,-0.96,开放申购,开放赎回,nan
2021-01-20,1.1563,1.1563,2.33,开放申购,开放赎回,nan
2021-01-21,1.1792,1.1792,1.98,开放申购,开放赎回,nan
2021-01-22,1.2166,1.2166,3.17,开放申购,开放赎回,nan
2021-01-25,1.2153,1.2153,-0.11,开放申购,开放赎回,nan
2021-01-26,1.1842,1.1842,-2.56,开放申购,开放赎回,nan
2021-01-27,1.178,1.178,-0.52,开放申购,开放赎回,nan
2021-01-28,1.1461,1.1461,-2.71,开放申购,开放赎回,nan
2021-01-29,1.1351,1.1351,-0.96,开放申购,开放赎回,nan
2021-02-01,1.1516,1.1516,1.45,开放申购,开放赎回,nan
2021-02-02,1.1584,1.1584,0.59,开放申购,开放赎回,nan
2021-02-03,1.1591,1.1591,0.06,开放申购,开放赎回,nan
2021-02-04,1.1379,1.1379,-1.83,开放申购,开放赎回,nan
2021-02-05,1.1491,1.1491,0.98,开放申购,开放赎回,nan
2021-02-08,1.1673,1.1673,1.58,开放申购,开放赎回,nan
2021-02-09,1.1883,1.1883,1.8,开放申购,开放赎回,nan
2021-02-10,1.2164,1.2164,2.36,开放申购,开放赎回,nan
2021-02-18,1.1922,1.1922,-1.99,开放申购,开放赎回,nan
2021-02-19,1.2011,1.2011,0.75,开放申购,开放赎回,nan
2021-02-22,1.1748,1.1748,-2.19,开放申购,开放赎回,nan
2021-02-23,1.1743,1.1743,-0.04,开放申购,开放赎回,nan
2021-02-24,1.148,1.148,-2.24,开放申购,开放赎回,nan
2021-02-25,1.1434,1.1434,-0.4,开放申购,开放赎回,nan
2021-02-26,1.1278,1.1278,-1.36,开放申购,开放赎回,nan
2021-03-01,1.1452,1.1452,1.54,开放申购,开放赎回,nan
2021-03-02,1.1309,1.1309,-1.25,开放申购,开放赎回,nan
2021-03-03,1.1408,1.1408,0.88,开放申购,开放赎回,nan
2021-03-04,1.1071,1.1071,-2.95,开放申购,开放赎回,nan
2021-03-05,1.1139,1.1139,0.61,开放申购,开放赎回,nan
2021-03-08,1.0799,1.0799,-3.05,开放申购,开放赎回,nan
2021-03-09,1.0486,1.0486,-2.9,开放申购,开放赎回,nan
2021-03-10,1.0511,1.0511,0.24,开放申购,开放赎回,nan
2021-03-11,1.0706,1.0706,1.86,开放申购,开放赎回,nan
2021-03-12,1.0703,1.0703,-0.03,开放申购,开放赎回,nan
2021-03-15,1.0463,1.0463,-2.24,开放申购,开放赎回,nan
2021-03-16,1.0597,1.0597,1.28,开放申购,开放赎回,nan
2021-03-17,1.0726,1.0726,1.22,开放申购,开放赎回,nan
2021-03-18,1.0877,1.0877,1.41,开放申购,开放赎回,nan
2021-03-19,1.0808,1.0808,-0.63,开放申购,开放赎回,nan
2021-03-22,1.0908,1.0908,0.93,开放申购,开放赎回,nan
2021-03-23,1.0833,1.0833,-0.69,开放申购,开放赎回,nan
2021-03-24,1.0772,1.0772,-0.56,开放申购,开放赎回,nan
2021-03-25,1.0828,1.0828,0.52,开放申购,开放赎回,nan
