净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,0.841,0.632,-1.98,暂停申购,开放赎回,nan
2020-10-09,0.863,0.646,2.62,暂停申购,开放赎回,nan
2020-10-12,0.882,0.658,2.2,暂停申购,开放赎回,nan
2020-10-13,0.888,0.662,0.68,暂停申购,开放赎回,nan
2020-10-14,0.878,0.656,-1.13,暂停申购,开放赎回,nan
2020-10-15,0.892,0.665,1.59,暂停申购,开放赎回,nan
2020-10-16,0.912,0.677,2.24,暂停申购,开放赎回,nan
2020-10-19,0.891,0.664,-2.3,暂停申购,开放赎回,nan
2020-10-20,0.887,0.661,-0.45,暂停申购,开放赎回,nan
2020-10-21,0.878,0.656,-1.01,暂停申购,开放赎回,nan
2020-10-22,0.873,0.652,-0.57,暂停申购,开放赎回,nan
2020-10-23,0.864,0.647,-1.03,暂停申购,开放赎回,nan
2020-10-26,0.858,0.643,-0.69,暂停申购,开放赎回,nan
2020-10-27,0.856,0.642,-0.23,暂停申购,开放赎回,nan
2020-10-28,0.856,0.642,0.0,暂停申购,开放赎回,nan
2020-10-29,0.849,0.637,-0.82,暂停申购,开放赎回,nan
2020-10-30,0.841,0.632,-0.94,暂停申购,开放赎回,nan
2020-11-02,0.853,0.64,1.43,暂停申购,开放赎回,nan
2020-11-03,0.869,0.65,1.88,暂停申购,开放赎回,nan
2020-11-04,0.879,0.656,1.15,暂停申购,开放赎回,nan
2020-11-05,0.882,0.658,0.34,暂停申购,开放赎回,nan
2020-11-06,0.888,0.662,0.68,暂停申购,开放赎回,nan
2020-11-09,0.908,0.675,2.25,暂停申购,开放赎回,nan
2020-11-10,0.9,0.67,-0.88,暂停申购,开放赎回,nan
2020-11-11,0.918,0.681,2.0,暂停申购,开放赎回,nan
2020-11-12,0.91,0.676,-0.87,暂停申购,开放赎回,nan
2020-11-13,0.902,0.671,-0.88,暂停申购,开放赎回,nan
2020-11-16,0.936,0.693,3.77,暂停申购,开放赎回,nan
2020-11-17,0.927,0.687,-0.96,暂停申购,开放赎回,nan
2020-11-18,0.93,0.689,0.32,暂停申购,开放赎回,nan
2020-11-19,0.919,0.682,-1.18,暂停申购,开放赎回,nan
2020-11-20,0.941,0.696,2.39,暂停申购,开放赎回,nan
2020-11-23,0.993,0.729,5.53,暂停申购,开放赎回,nan
2020-11-24,0.996,0.731,0.3,暂停申购,开放赎回,nan
2020-11-25,0.983,0.722,-1.31,暂停申购,开放赎回,nan
2020-11-26,0.979,0.72,-0.41,暂停申购,开放赎回,nan
2020-11-27,0.983,0.722,0.41,暂停申购,开放赎回,nan
2020-11-30,0.983,0.722,0.0,暂停申购,开放赎回,nan
2020-12-01,0.998,0.732,1.53,暂停申购,开放赎回,nan
2020-12-02,1.014,0.742,1.6,暂停申购,开放赎回,nan
2020-12-03,0.976,0.718,-3.75,暂停申购,开放赎回,nan
2020-12-04,0.969,0.714,-0.72,暂停申购,开放赎回,nan
2020-12-07,0.96,0.708,-0.93,暂停申购,开放赎回,nan
