净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,2.8205,2.8981,0.71,开放申购,开放赎回,nan
2020-10-09,2.8742,2.9518,1.9,开放申购,开放赎回,nan
2020-10-12,2.981,3.0586,3.72,开放申购,开放赎回,nan
2020-10-13,2.9973,3.0749,0.55,开放申购,开放赎回,nan
2020-10-14,2.988,3.0656,-0.31,开放申购,开放赎回,nan
2020-10-15,2.9791,3.0567,-0.3,开放申购,开放赎回,nan
2020-10-16,2.9577,3.0353,-0.72,开放申购,开放赎回,nan
2020-10-19,2.9106,2.9882,-1.59,开放申购,开放赎回,nan
2020-10-20,2.9903,3.0679,2.74,开放申购,开放赎回,nan
2020-10-21,2.9916,3.0692,0.04,开放申购,开放赎回,nan
2020-10-22,3.0085,3.0861,0.56,开放申购,开放赎回,nan
2020-10-23,2.9281,3.0057,-2.67,开放申购,开放赎回,nan
2020-10-26,2.9048,2.9824,-0.8,开放申购,开放赎回,nan
2020-10-27,2.9246,3.0022,0.68,开放申购,开放赎回,nan
2020-10-28,2.9943,3.0719,2.38,开放申购,开放赎回,nan
2020-10-29,3.0544,3.132,2.01,开放申购,开放赎回,nan
2020-10-30,2.9417,3.0193,-3.69,开放申购,开放赎回,nan
2020-11-02,2.9444,3.022,0.09,开放申购,开放赎回,nan
2020-11-03,2.9764,3.054,1.09,开放申购,开放赎回,nan
2020-11-04,2.9962,3.0738,0.67,开放申购,开放赎回,nan
2020-11-05,3.0445,3.1221,1.61,开放申购,开放赎回,nan
2020-11-06,3.0188,3.0964,-0.84,开放申购,开放赎回,nan
2020-11-09,3.0604,3.138,1.38,开放申购,开放赎回,nan
2020-11-10,3.0818,3.1594,0.7,开放申购,开放赎回,nan
2020-11-11,3.0816,3.1592,-0.01,开放申购,开放赎回,nan
2020-11-12,3.1026,3.1802,0.68,开放申购,开放赎回,nan
2020-11-13,3.0292,3.1068,-2.37,开放申购,开放赎回,nan
2020-11-16,3.0934,3.171,2.12,开放申购,开放赎回,nan
2020-11-17,3.0632,3.1408,-0.98,开放申购,开放赎回,nan
2020-11-18,3.046,3.1236,-0.56,开放申购,开放赎回,nan
2020-11-19,3.0747,3.1523,0.94,开放申购,开放赎回,nan
2020-11-20,3.1156,3.1932,1.33,开放申购,开放赎回,nan
2020-11-23,3.1307,3.2083,0.48,开放申购,开放赎回,nan
2020-11-24,3.1278,3.2054,-0.09,开放申购,开放赎回,nan
2020-11-25,3.0281,3.1057,-3.19,开放申购,开放赎回,nan
2020-11-26,3.0333,3.1109,0.17,开放申购,开放赎回,nan
2020-11-27,3.0493,3.1269,0.53,开放申购,开放赎回,nan
2020-11-30,2.9922,3.0698,-1.87,开放申购,开放赎回,nan
2020-12-01,3.0386,3.1162,1.55,开放申购,开放赎回,nan
2020-12-02,3.0413,3.1189,0.09,开放申购,开放赎回,nan
2020-12-03,3.0736,3.1512,1.06,开放申购,开放赎回,nan
2020-12-04,3.175,3.2526,3.3,开放申购,开放赎回,nan
2020-12-07,3.1925,3.2701,0.55,开放申购,开放赎回,nan
2020-12-08,3.2246,3.3022,1.01,开放申购,开放赎回,nan
2020-12-09,3.2084,3.286,-0.5,开放申购,开放赎回,nan
2020-12-10,3.2241,3.3017,0.49,开放申购,开放赎回,nan
2020-12-11,3.2134,3.291,-0.33,开放申购,开放赎回,nan
2020-12-14,3.2949,3.3725,2.54,开放申购,开放赎回,nan
2020-12-15,3.2943,3.3719,-0.02,开放申购,开放赎回,nan
2020-12-16,3.355,3.4326,1.84,开放申购,开放赎回,nan
2020-12-17,3.3874,3.465,0.97,开放申购,开放赎回,nan
2020-12-18,3.3532,3.4308,-1.01,开放申购,开放赎回,nan
2020-12-21,3.3815,3.4591,0.84,开放申购,开放赎回,nan
2020-12-22,3.3971,3.4747,0.46,开放申购,开放赎回,nan
2020-12-23,3.3953,3.4729,-0.05,开放申购,开放赎回,nan
2020-12-24,3.3251,3.4027,-2.07,开放申购,开放赎回,nan
2020-12-25,3.3315,3.4091,0.19,开放申购,开放赎回,nan
2020-12-28,3.4177,3.4953,2.59,开放申购,开放赎回,nan
2020-12-29,3.3986,3.4762,-0.56,开放申购,开放赎回,nan
2020-12-30,3.4786,3.5562,2.35,开放申购,开放赎回,nan
2020-12-31,3.5236,3.6012,1.29,开放申购,开放赎回,nan
2021-01-04,3.631,3.7086,3.05,开放申购,开放赎回,nan
2021-01-05,3.7973,3.8749,4.58,开放申购,开放赎回,nan
2021-01-06,3.8144,3.892,0.45,开放申购,开放赎回,nan
2021-01-07,3.8562,3.9338,1.1,开放申购,开放赎回,nan
2021-01-08,3.7651,3.8427,-2.36,开放申购,开放赎回,nan
2021-01-11,3.6719,3.7495,-2.48,开放申购,开放赎回,nan
2021-01-12,3.757,3.8346,2.32,开放申购,开放赎回,nan
2021-01-13,3.7243,3.8019,-0.87,开放申购,开放赎回,nan
2021-01-14,3.6407,3.7183,-2.24,开放申购,开放赎回,nan
2021-01-15,3.5561,3.6337,-2.32,开放申购,开放赎回,nan
2021-01-18,3.5352,3.6128,-0.59,开放申购,开放赎回,nan
2021-01-19,3.4761,3.5537,-1.67,开放申购,开放赎回,nan
2021-01-20,3.4998,3.5774,0.68,开放申购,开放赎回,nan
2021-01-21,3.5795,3.6571,2.28,开放申购,开放赎回,nan
2021-01-22,3.5727,3.6503,-0.19,开放申购,开放赎回,nan
2021-01-25,3.7227,3.8003,4.2,开放申购,开放赎回,nan
2021-01-26,3.6474,3.725,-2.02,开放申购,开放赎回,nan
2021-01-27,3.5725,3.6501,-2.05,开放申购,开放赎回,nan
