净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,1.866,1.866,0.05,开放申购,开放赎回,nan
2020-10-09,1.952,1.952,4.61,开放申购,开放赎回,nan
2020-10-12,2.005,2.005,2.72,开放申购,开放赎回,nan
2020-10-13,2.019,2.019,0.7,开放申购,开放赎回,nan
2020-10-14,1.977,1.977,-2.08,开放申购,开放赎回,nan
2020-10-15,1.966,1.966,-0.56,开放申购,开放赎回,nan
2020-10-16,1.941,1.941,-1.27,开放申购,开放赎回,nan
2020-10-19,1.941,1.941,0.0,开放申购,开放赎回,nan
2020-10-20,1.986,1.986,2.32,开放申购,开放赎回,nan
2020-10-21,1.949,1.949,-1.86,开放申购,开放赎回,nan
2020-10-22,1.942,1.942,-0.36,开放申购,开放赎回,nan
2020-10-23,1.884,1.884,-2.99,开放申购,开放赎回,nan
2020-10-26,1.907,1.907,1.22,开放申购,开放赎回,nan
2020-10-27,1.933,1.933,1.36,开放申购,开放赎回,nan
2020-10-28,1.968,1.968,1.81,开放申购,开放赎回,nan
2020-10-29,1.945,1.945,-1.17,开放申购,开放赎回,nan
2020-10-30,1.903,1.903,-2.16,开放申购,开放赎回,nan
2020-11-02,1.939,1.939,1.89,开放申购,开放赎回,nan
2020-11-03,1.956,1.956,0.88,开放申购,开放赎回,nan
2020-11-04,1.965,1.965,0.46,开放申购,开放赎回,nan
2020-11-05,2.036,2.036,3.61,开放申购,开放赎回,nan
2020-11-06,2.016,2.016,-0.98,开放申购,开放赎回,nan
2020-11-09,2.056,2.056,1.98,开放申购,开放赎回,nan
2020-11-10,2.027,2.027,-1.41,开放申购,开放赎回,nan
2020-11-11,1.966,1.966,-3.01,开放申购,开放赎回,nan
2020-11-12,1.976,1.976,0.51,开放申购,开放赎回,nan
2020-11-13,1.972,1.972,-0.2,开放申购,开放赎回,nan
2020-11-16,1.957,1.957,-0.76,开放申购,开放赎回,nan
2020-11-17,1.937,1.937,-1.02,开放申购,开放赎回,nan
2020-11-18,1.894,1.894,-2.22,开放申购,开放赎回,nan
2020-11-19,1.92,1.92,1.37,开放申购,开放赎回,nan
2020-11-20,1.929,1.929,0.47,开放申购,开放赎回,nan
2020-11-23,1.928,1.928,-0.05,开放申购,开放赎回,nan
2020-11-24,1.917,1.917,-0.57,开放申购,开放赎回,nan
2020-11-25,1.871,1.871,-2.4,开放申购,开放赎回,nan
2020-11-26,1.866,1.866,-0.27,开放申购,开放赎回,nan
2020-11-27,1.877,1.877,0.59,开放申购,开放赎回,nan
2020-11-30,1.896,1.896,1.01,开放申购,开放赎回,nan
2020-12-01,1.928,1.928,1.69,开放申购,开放赎回,nan
2020-12-02,1.898,1.898,-1.56,开放申购,开放赎回,nan
2020-12-03,1.919,1.919,1.11,开放申购,开放赎回,nan
2020-12-04,1.931,1.931,0.63,开放申购,开放赎回,nan
2020-12-07,1.956,1.956,1.29,开放申购,开放赎回,nan
2020-12-08,1.975,1.975,0.97,开放申购,开放赎回,nan
2020-12-09,1.977,1.977,0.1,开放申购,开放赎回,nan
2020-12-10,1.966,1.966,-0.56,开放申购,开放赎回,nan
2020-12-11,1.94,1.94,-1.32,开放申购,开放赎回,nan
2020-12-14,1.964,1.964,1.24,开放申购,开放赎回,nan
2020-12-15,1.993,1.993,1.48,开放申购,开放赎回,nan
2020-12-16,1.99,1.99,-0.15,开放申购,开放赎回,nan
2020-12-17,2.002,2.002,0.6,开放申购,开放赎回,nan
2020-12-18,2.017,2.017,0.75,开放申购,开放赎回,nan
2020-12-21,2.069,2.069,2.58,开放申购,开放赎回,nan
2020-12-22,2.022,2.022,-2.27,开放申购,开放赎回,nan
2020-12-23,2.056,2.056,1.68,开放申购,开放赎回,nan
2020-12-24,2.022,2.022,-1.65,开放申购,开放赎回,nan
2020-12-25,2.048,2.048,1.29,开放申购,开放赎回,nan
2020-12-28,2.042,2.042,-0.29,开放申购,开放赎回,nan
2020-12-29,2.051,2.051,0.44,开放申购,开放赎回,nan
2020-12-30,2.123,2.123,3.51,开放申购,开放赎回,nan
2020-12-31,2.198,2.198,3.53,开放申购,开放赎回,nan
2021-01-04,2.295,2.295,4.41,开放申购,开放赎回,nan
2021-01-05,2.334,2.334,1.7,开放申购,开放赎回,nan
2021-01-06,2.323,2.323,-0.47,开放申购,开放赎回,nan
2021-01-07,2.347,2.347,1.03,开放申购,开放赎回,nan
2021-01-08,2.33,2.33,-0.72,开放申购,开放赎回,nan
2021-01-11,2.32,2.32,-0.43,开放申购,开放赎回,nan
2021-01-12,2.408,2.408,3.79,开放申购,开放赎回,nan
2021-01-13,2.356,2.356,-2.16,开放申购,开放赎回,nan
2021-01-14,2.334,2.334,-0.93,开放申购,开放赎回,nan
2021-01-15,2.343,2.343,0.39,开放申购,开放赎回,nan
2021-01-18,2.416,2.416,3.12,开放申购,开放赎回,nan
2021-01-19,2.379,2.379,-1.53,开放申购,开放赎回,nan
2021-01-20,2.458,2.458,3.32,开放申购,开放赎回,nan
2021-01-21,2.512,2.512,2.2,开放申购,开放赎回,nan
2021-01-22,2.559,2.559,1.87,开放申购,开放赎回,nan
2021-01-25,2.543,2.543,-0.63,开放申购,开放赎回,nan
2021-01-26,2.454,2.454,-3.5,开放申购,开放赎回,nan
2021-01-27,2.478,2.478,0.98,开放申购,开放赎回,nan
2021-01-28,2.359,2.359,-4.8,开放申购,开放赎回,nan
2021-01-29,2.334,2.334,-1.06,开放申购,开放赎回,nan
2021-02-01,2.352,2.352,0.77,开放申购,开放赎回,nan
2021-02-02,2.399,2.399,2.0,开放申购,开放赎回,nan
2021-02-03,2.382,2.382,-0.71,开放申购,开放赎回,nan
2021-02-04,2.348,2.348,-1.43,开放申购,开放赎回,nan
2021-02-05,2.323,2.323,-1.06,开放申购,开放赎回,nan
2021-02-08,2.326,2.326,0.13,开放申购,开放赎回,nan
2021-02-09,2.395,2.395,2.97,开放申购,开放赎回,nan
2021-02-10,2.471,2.471,3.17,开放申购,开放赎回,nan
2021-02-18,2.375,2.375,-3.89,开放申购,开放赎回,nan
2021-02-19,2.334,2.334,-1.73,开放申购,开放赎回,nan
2021-02-22,2.255,2.255,-3.38,开放申购,开放赎回,nan
2021-02-23,2.241,2.241,-0.62,开放申购,开放赎回,nan
2021-02-24,2.162,2.162,-3.53,开放申购,开放赎回,nan
2021-02-25,2.148,2.148,-0.65,开放申购,开放赎回,nan
2021-02-26,2.087,2.087,-2.84,开放申购,开放赎回,nan
2021-03-01,2.131,2.131,2.11,开放申购,开放赎回,nan
2021-03-02,2.123,2.123,-0.38,开放申购,开放赎回,nan
2021-03-03,2.143,2.143,0.94,开放申购,开放赎回,nan
2021-03-04,2.045,2.045,-4.57,开放申购,开放赎回,nan
2021-03-05,2.056,2.056,0.54,开放申购,开放赎回,nan
2021-03-08,1.96,1.96,-4.67,开放申购,开放赎回,nan
2021-03-09,1.923,1.923,-1.89,开放申购,开放赎回,nan
2021-03-10,1.969,1.969,2.39,开放申购,开放赎回,nan
2021-03-11,2.004,2.004,1.78,开放申购,开放赎回,nan
2021-03-12,2.008,2.008,0.2,开放申购,开放赎回,nan
2021-03-15,1.933,1.933,-3.74,开放申购,开放赎回,nan
2021-03-16,1.946,1.946,0.67,开放申购,开放赎回,nan
2021-03-17,1.972,1.972,1.34,开放申购,开放赎回,nan
2021-03-18,1.995,1.995,1.17,开放申购,开放赎回,nan
2021-03-19,1.942,1.942,-2.66,开放申购,开放赎回,nan
2021-03-22,1.944,1.944,0.1,开放申购,开放赎回,nan
2021-03-23,1.898,1.898,-2.37,开放申购,开放赎回,nan
2021-03-24,1.888,1.888,-0.53,开放申购,开放赎回,nan
2021-03-25,1.905,1.905,0.9,开放申购,开放赎回,nan
2021-03-26,1.969,1.969,3.36,开放申购,开放赎回,nan
2021-03-29,1.961,1.961,-0.41,开放申购,开放赎回,nan
2021-03-30,1.991,1.991,1.53,开放申购,开放赎回,nan
2021-03-31,1.984,1.984,-0.35,开放申购,开放赎回,nan
2021-04-01,2.018,2.018,1.71,开放申购,开放赎回,nan
2021-04-02,2.029,2.029,0.55,开放申购,开放赎回,nan
2021-04-06,2.03,2.03,0.05,开放申购,开放赎回,nan
2021-04-07,1.994,1.994,-1.77,开放申购,开放赎回,nan
2021-04-08,2.009,2.009,0.75,开放申购,开放赎回,nan
2021-04-09,1.978,1.978,-1.54,开放申购,开放赎回,nan
2021-04-12,1.94,1.94,-1.92,开放申购,开放赎回,nan
2021-04-13,1.969,1.969,1.49,开放申购,开放赎回,nan
