净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,1.1658,1.1658,0.99,开放申购,开放赎回,nan
2020-10-09,1.2338,1.2338,5.83,开放申购,开放赎回,nan
2020-10-12,1.2716,1.2716,3.06,开放申购,开放赎回,nan
2020-10-13,1.2773,1.2773,0.45,开放申购,开放赎回,nan
2020-10-14,1.2799,1.2799,0.2,开放申购,开放赎回,nan
2020-10-15,1.26,1.26,-1.55,开放申购,开放赎回,nan
2020-10-16,1.2429,1.2429,-1.36,开放申购,开放赎回,nan
2020-10-19,1.2061,1.2061,-2.96,开放申购,开放赎回,nan
2020-10-20,1.2384,1.2384,2.68,开放申购,开放赎回,nan
2020-10-21,1.2236,1.2236,-1.2,开放申购,开放赎回,nan
2020-10-22,1.2088,1.2088,-1.21,开放申购,开放赎回,nan
2020-10-23,1.1939,1.1939,-1.23,开放申购,开放赎回,nan
2020-10-26,1.2151,1.2151,1.78,开放申购,开放赎回,nan
2020-10-27,1.2403,1.2403,2.07,开放申购,开放赎回,nan
2020-10-28,1.2598,1.2598,1.57,开放申购,开放赎回,nan
2020-10-29,1.266,1.266,0.49,开放申购,开放赎回,nan
2020-10-30,1.2765,1.2765,0.83,开放申购,开放赎回,nan
2020-11-02,1.3202,1.3202,3.42,开放申购,开放赎回,nan
2020-11-03,1.3157,1.3157,-0.34,开放申购,开放赎回,nan
2020-11-04,1.295,1.295,-1.57,开放申购,开放赎回,nan
2020-11-05,1.3613,1.3613,5.12,开放申购,开放赎回,nan
2020-11-06,1.3264,1.3264,-2.56,开放申购,开放赎回,nan
2020-11-09,1.3424,1.3424,1.21,开放申购,开放赎回,nan
2020-11-10,1.3495,1.3495,0.53,开放申购,开放赎回,nan
2020-11-11,1.3108,1.3108,-2.87,开放申购,开放赎回,nan
2020-11-12,1.3246,1.3246,1.05,开放申购,开放赎回,nan
2020-11-13,1.3182,1.3182,-0.48,开放申购,开放赎回,nan
2020-11-16,1.3095,1.3095,-0.66,开放申购,开放赎回,nan
2020-11-17,1.2767,1.2767,-2.5,开放申购,开放赎回,nan
2020-11-18,1.2713,1.2713,-0.42,开放申购,开放赎回,nan
2020-11-19,1.2847,1.2847,1.05,开放申购,开放赎回,nan
2020-11-20,1.3114,1.3114,2.08,开放申购,开放赎回,nan
2020-11-23,1.3483,1.3483,2.81,开放申购,开放赎回,nan
2020-11-24,1.3752,1.3752,2.0,开放申购,开放赎回,nan
2020-11-25,1.3528,1.3528,-1.63,开放申购,开放赎回,nan
2020-11-26,1.3353,1.3353,-1.29,开放申购,开放赎回,nan
2020-11-27,1.3226,1.3226,-0.95,开放申购,开放赎回,nan
2020-11-30,1.3286,1.3286,0.45,开放申购,开放赎回,nan
2020-12-01,1.359,1.359,2.29,开放申购,开放赎回,nan
2020-12-02,1.3453,1.3453,-1.01,开放申购,开放赎回,nan
2020-12-03,1.3454,1.3454,0.01,开放申购,开放赎回,nan
2020-12-04,1.366,1.366,1.53,开放申购,开放赎回,nan
2020-12-07,1.3913,1.3913,1.85,开放申购,开放赎回,nan
2020-12-08,1.4147,1.4147,1.68,开放申购,开放赎回,nan
2020-12-09,1.3869,1.3869,-1.97,开放申购,开放赎回,nan
2020-12-10,1.4178,1.4178,2.23,开放申购,开放赎回,nan
2020-12-11,1.4149,1.4149,-0.2,开放申购,开放赎回,nan
2020-12-14,1.4721,1.4721,4.04,开放申购,开放赎回,nan
2020-12-15,1.505,1.505,2.23,开放申购,开放赎回,nan
2020-12-16,1.5098,1.5098,0.32,开放申购,开放赎回,nan
2020-12-17,1.5322,1.5322,1.48,开放申购,开放赎回,nan
2020-12-18,1.566,1.566,2.21,开放申购,开放赎回,nan
2020-12-21,1.6281,1.6281,3.97,开放申购,开放赎回,nan
2020-12-22,1.5896,1.5896,-2.36,开放申购,开放赎回,nan
2020-12-23,1.6241,1.6241,2.17,开放申购,开放赎回,nan
2020-12-24,1.5966,1.5966,-1.69,开放申购,开放赎回,nan
2020-12-25,1.6768,1.6768,5.02,开放申购,开放赎回,nan
2020-12-28,1.6675,1.6675,-0.55,开放申购,开放赎回,nan
2020-12-29,1.5695,1.5695,-5.88,开放申购,开放赎回,nan
2020-12-30,1.6145,1.6145,2.87,开放申购,开放赎回,nan
2020-12-31,1.6614,1.6614,2.9,开放申购,开放赎回,nan
2021-01-04,1.793,1.793,7.92,开放申购,开放赎回,nan
2021-01-05,1.8002,1.8002,0.4,开放申购,开放赎回,nan
2021-01-06,1.7876,1.7876,-0.7,开放申购,开放赎回,nan
2021-01-07,1.84,1.84,2.93,开放申购,开放赎回,nan
